transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale
180,11/5/2022,10:47:00,117,Male,41,Clothing,3,300.00,129.00,900.00
522,7/9/2022,11:00:00,52,Male,46,Beauty,3,500.00,145.00,1500.00
559,12/12/2022,10:48:00,5,Female,40,Clothing,4,300.00,84.00,1200.00
1180,1/6/2022,8:53:00,85,Male,41,Clothing,3,300.00,129.00,900.00
1522,11/14/2022,8:35:00,48,Male,46,Beauty,3,500.00,235.00,1500.00
1559,8/20/2022,7:40:00,49,Female,40,Clothing,4,300.00,144.00,1200.00
163,10/31/2022,9:38:00,144,Female,64,Clothing,3,50.00,23.00,150.00
303,4/22/2022,11:09:00,54,Male,19,Electronics,3,30.00,14.70,90.00
421,4/8/2022,8:43:00,66,Female,37,Clothing,3,500.00,235.00,1500.00
979,5/18/2022,10:18:00,6,Female,19,Beauty,1,25.00,10.50,25.00
1163,5/4/2022,10:52:00,120,Female,64,Clothing,3,50.00,27.00,150.00
1303,3/19/2022,8:59:00,58,Male,19,Electronics,3,30.00,15.00,90.00
1421,1/17/2022,7:07:00,59,Female,37,Clothing,3,500.00,185.00,1500.00
1979,8/17/2022,11:34:00,102,Female,19,Beauty,1,25.00,7.75,25.00
610,12/18/2022,6:56:00,137,Female,26,Beauty,2,300.00,93.00,600.00
1610,11/23/2022,10:18:00,1,Female,26,Beauty,2,300.00,102.00,600.00
32,7/16/2022,9:11:00,150,Male,30,Beauty,3,30.00,8.40,90.00
231,7/9/2022,7:02:00,50,Female,23,Clothing,3,50.00,26.50,150.00
683,3/6/2022,10:22:00,82,Male,38,Beauty,2,500.00,175.00,1000.00
1032,4/1/2022,8:15:00,1,Male,30,Beauty,3,30.00,10.50,90.00
1231,1/29/2022,7:05:00,12,Female,23,Clothing,3,50.00,23.00,150.00
1683,5/4/2022,7:19:00,98,Male,38,Beauty,2,500.00,220.00,1000.00
367,12/30/2022,7:03:00,123,Female,57,Electronics,1,50.00,18.00,50.00
391,3/25/2022,7:37:00,68,Male,19,Beauty,2,25.00,6.25,50.00
432,3/10/2022,11:31:00,17,Female,,Electronics,2,500.00,190.00,1000.00
1367,4/15/2022,11:38:00,16,Female,,Electronics,1,50.00,15.50,50.00
1391,3/1/2022,11:29:00,130,Male,,Beauty,2,25.00,9.25,50.00
1432,12/25/2022,6:24:00,67,Female,,Electronics,2,500.00,245.00,1000.00
150,4/13/2022,8:25:00,89,Female,,Electronics,4,30.00,16.20,120.00
845,10/27/2022,10:12:00,25,Male,,Clothing,1,500.00,145.00,500.00
1150,8/22/2022,10:04:00,77,Female,,Electronics,4,30.00,10.20,120.00
1845,5/24/2022,7:06:00,94,Male,,Clothing,1,500.00,185.00,500.00
797,9/16/2022,6:38:00,116,Male,,Clothing,3,25.00,10.75,75.00
921,9/28/2022,9:34:00,101,Male,,Electronics,3,25.00,8.00,75.00
1797,4/16/2022,11:47:00,147,Male,40,Clothing,3,25.00,12.25,75.00
